time,from_victim/from_noise,set
56942000,from_noise,4
57204000,from_noise,13
57962000,from_noise,20
58284000,from_noise,49
58523000,from_noise,42
58822000,from_victim,27
66378000,from_victim,45
61641000,from_victim,34
62211000,from_victim,23
64264000,from_victim,38
67906000,from_victim,42
69341000,from_victim,49
72765000,from_victim,53
72770000,from_victim,57
74524000,from_victim,60
77486000,from_victim,0
80786000,from_victim,4
82211000,from_noise,1
82598000,from_noise,39
83071000,from_noise,24
83498000,from_noise,28